#;Date;Heure;Durée de trade ;Bot;Score;Symbol;Direction;Entry_Prix;Exit_Prix;PnL_Net;Exit_Raison;Notes;Notes 2;Total PnL;PNL Long;PNL Short;Total Long;Total Short;;;
157;07/01/2026;11:24;30m;DEGEN;88;PENGUUSDT;SHORT;0,01299;0,013193;-0,4873;SL;;;;;;;;;;
158;07/01/2026;14:29;1d 6h;TOP 30;91,6;SUIUSDT;SHORT;1,9456;1,8551;1,781;TP;TP1 & TP2 Touchés;;;;;;;;;
159;07/01/2026;14:30;14h;TOP 30;99,9;PEPEUSDT;LONG;0,0000064896;0,000006727;1,0451;TP;TP1 Touché;;;;;;;;;
160;07/01/2026;14:30;1d 12h;TOP 30;98,2;TONUSDT;SHORT;1,9144;1,8687;0,8952;TP;TP1 Touché;;;;;;;;;
161;07/01/2026;16:04;2h;TOP 30;80,2;PEPEUSDT;SHORT;0,0000067331;0,0000069635;-1,0465;SL;;;;;;;;;;
162;07/01/2026;18:43;1h;DEGEN;98;ZKUSDT;SHORT;0,03444;0,03524;-0,7122;SL;;;;;;;;;;
163;07/01/2026;19:15;18h;DISCOVERY;90;WLFIUSDT;SHORT;0,1709;0,1692;0,2642;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
164;07/01/2026;20:07;20h;TOP 30;92,2;SUIUSDT;LONG;1,8926;1,8961;0,0195;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
165;07/01/2026;20:34;4h;SWING;64;UNIUSDT;LONG;6,034;5,875;-0,4985;SL;;;;;;;;;;
166;07/01/2026;22:19;4h;DEGEN;90;HBARUSDT;SHORT;0,12605;0,12373;0,3465;TP;TP1 Touché;;;;;;;;;
167;08/01/2026;00:34;3h;DEGEN;98;VIRTUALUSDT;SHORT;1,08;1,0563;0,6193;TP;TP1 Touché;;;;;;;;;
168;08/01/2026;02:31;8h;DISCOVERY;85;DYDXUSDT;SHORT;0,1982;0,1976;0,0687;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
169;08/01/2026;08:45;20m;DEGEN;92;FARTCOINUSDT;SHORT;0,4095;0,4169;-0,5598;SL;;;;;;;;;;
170;08/01/2026;08:52;8h;DISCOVERY;90;MONUSDT;SHORT;0,02729;0,0272;0,0515;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
171;08/01/2026;08:54;19h;DISCOVERY;80;PUMPUSDT;SHORT;0,002461;0,002352;0,8548;TP;TP1 & TP2 Touchés;;;;;;;;;
172;08/01/2026;10:00;11h;SWING;74;AVAXUSDT;SHORT;14,254;14,212;0,0449;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
173;08/01/2026;10:18;9h;DISCOVERY;100;PENGUUSDT;SHORT;0,012172;0,01213;0,0544;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
